Year,Ring,ID_YearBird,FID,FID_nb,Island_ID,Island_type,Breed_exp,Body_condition,ClutchSize,Eagle_index,Ad_pred_risk,Nest_pred_risk,Laying_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65589,2009-65589,40,1,AGR,Open,1,-0.049104364,4,2.9452,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65589,2009-65589,50,2,AGR,Open,1,-0.049104364,4,2.9452,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45549,2009-45549,50,2,AO,Forested,13,0.060840244,6,2.9452,0.057142857,0.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66663,2009-66663,100,3,AO,Forested,1,0.090414278,6,2.9452,0.057142857,0.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64041,2009-64041,0,1,AO,Forested,3,0.010136279,5,2.9452,0.057142857,0.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,31195,2009-31195,0,2,AO,Forested,14,0.194565662,5,2.9452,0.057142857,0.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64041,2009-64041,0,2,AO,Forested,3,0.010136279,5,2.9452,0.057142857,0.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45549,2009-45549,0,1,AO,Forested,13,0.060840244,6,2.9452,0.057142857,0.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64016,2009-64016,0,3,AO,Forested,3,-0.020256081,4,2.9452,0.057142857,0.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64017,2009-64017,0,1,AO,Forested,3,0.12795394,7,2.9452,0.057142857,0.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66715,2009-66715,300,1,AO,Forested,1,-0.047067283,4,2.9452,0.057142857,0.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45160,2009-45160,20,1,AO,Forested,10,0.085580686,6,2.9452,0.057142857,0.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65508,2009-65508,600,2,AO,Forested,2,0.039954925,6,2.9452,0.057142857,0.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66663,2009-66663,60,1,AO,Forested,1,0.090414278,6,2.9452,0.057142857,0.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,31195,2009-31195,0,1,AO,Forested,14,0.194565662,5,2.9452,0.057142857,0.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65508,2009-65508,1000,1,AO,Forested,2,0.039954925,6,2.9452,0.057142857,0.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64016,2009-64016,0,2,AO,Forested,3,-0.020256081,4,2.9452,0.057142857,0.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
